Source,Target,Weight,Type
12,6,0.047619048,undirected
12,10,0.047619048,undirected
12,11,0.095238095,undirected
12,12,0.047619048,undirected
12,13,0.095238095,undirected
12,14,0.095238095,undirected
12,15,0.047619048,undirected
13,0,0.066666667,undirected
13,2,0.13333333,undirected
13,3,0.066666667,undirected
13,5,0.066666667,undirected
13,6,0.066666667,undirected
13,9,0.066666667,undirected
13,11,0.066666667,undirected
14,1,0.023255814,undirected
14,2,0.093023256,undirected
14,3,0.023255814,undirected
14,4,0.046511628,undirected
14,5,0.023255814,undirected
14,6,0.069767442,undirected
14,8,0.023255814,undirected
14,9,0.023255814,undirected
14,10,0.093023256,undirected
14,11,0.046511628,undirected
14,12,0.023255814,undirected
14,13,0.069767442,undirected
14,15,0.023255814,undirected
15,0,0.041666667,undirected
15,3,0.041666667,undirected
15,4,0.041666667,undirected
15,8,0.083333333,undirected
15,12,0.125,undirected
15,13,0.041666667,undirected
15,14,0.041666667,undirected
16,0,0.043478261,undirected
16,1,0.065217391,undirected
16,2,0.02173913,undirected
16,3,0.065217391,undirected
16,4,0.02173913,undirected
16,5,0.065217391,undirected
16,8,0.043478261,undirected
16,9,0.043478261,undirected
16,12,0.043478261,undirected
16,13,0.065217391,undirected
16,15,0.02173913,undirected
17,0,0.035714286,undirected
17,1,0.071428571,undirected
17,2,0.035714286,undirected
17,3,0.053571429,undirected
17,4,0.035714286,undirected
17,5,0.035714286,undirected
17,7,0.017857143,undirected
17,8,0.017857143,undirected
17,9,0.071428571,undirected
17,10,0.053571429,undirected
17,11,0.053571429,undirected
17,12,0.017857143,undirected
17,13,0.053571429,undirected
17,14,0.053571429,undirected
17,15,0.017857143,undirected
18,0,0.0625,undirected
18,1,0.041666667,undirected
18,2,0.041666667,undirected
18,3,0.020833333,undirected
18,4,0.010416667,undirected
18,5,0.052083333,undirected
18,6,0.010416667,undirected
18,7,0.041666667,undirected
18,8,0.010416667,undirected
18,9,0.020833333,undirected
18,10,0.03125,undirected
18,11,0.041666667,undirected
18,12,0.020833333,undirected
18,13,0.052083333,undirected
18,14,0.020833333,undirected
18,15,0.020833333,undirected
19,0,0.028571429,undirected
19,1,0.11428571,undirected
19,2,0.028571429,undirected
19,3,0.085714286,undirected
19,5,0.028571429,undirected
19,6,0.028571429,undirected
19,7,0.057142857,undirected
19,10,0.057142857,undirected
