word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
επιειμενε,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
κερδαλεοφρον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047619048,0
απεινη,0,0,0,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
καλει,0,0,0,0,0.0047393365,0,0,0.0049019608,0,0,0,0,0,0.0047393365,0.0047619048,0.0044642857
δια,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αυτον,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
πεπραγμενα,0,0,0,0,0,0,0,0,0.0052083333,0,0,0,0,0,0,0
μετα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
απηνεος,0,0,0,0,0,0,0,0,0,0.0042918455,0,0,0,0,0,0
αρισταρχος,0,0,0.0046948357,0.0048543689,0.0047393365,0.0092592593,0.0049261084,0.0049019608,0.010416667,0,0.0049751244,0.0050761421,0.010050251,0,0.0047619048,0.0044642857
οτε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ως,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
δηλαδη,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256,0,0.0047619048,0
παραλογως,0,0,0.0046948357,0,0,0,0,0,0,0,0,0,0,0,0,0
ανεγινωσκεν,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
παμφιλος,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
κατ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ϊδιαν,0,0,0,0,0,0,0,0,0,0,0.0049751244,0,0,0,0,0
αναφορικον,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047393365,0,0
αναλογως,0,0,0,0,0,0,0,0,0,0,0,0.0050761421,0,0,0,0
διαφερει,0,0,0.0046948357,0,0,0,0.0049261084,0,0,0,0,0,0,0,0,0
οξυνομενον,0,0,0,0,0,0,0,0.0049019608,0,0,0,0,0,0,0,0
κατα,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
την,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
