0,1.0116009,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1.0116009,-Infinity,-Infinity,-Infinity,-Infinity,1.0116009
1.0116009,0,1.0116009,-Infinity,1.0116009,-Infinity,-Infinity,1.0116009,-Infinity,-Infinity,-Infinity,-Infinity,1.0116009
-Infinity,1.0116009,0,-Infinity,1.0116009,1.0116009,-Infinity,1.0116009,-Infinity,-Infinity,-Infinity,-Infinity,1.0116009
-Infinity,-Infinity,-Infinity,0,1.0116009,-Infinity,1.0116009,-Infinity,1.7047481,-Infinity,-Infinity,-Infinity,-Infinity
-Infinity,1.0116009,1.0116009,1.0116009,0,-Infinity,1.0116009,-Infinity,1.7047481,-Infinity,-Infinity,-Infinity,1.0116009
-Infinity,-Infinity,1.0116009,-Infinity,-Infinity,0,-Infinity,1.0116009,-Infinity,1.7047481,1.7047481,-Infinity,-Infinity
-Infinity,-Infinity,-Infinity,1.0116009,1.0116009,-Infinity,0,-Infinity,1.7047481,-Infinity,-Infinity,-Infinity,-Infinity
1.0116009,1.0116009,1.0116009,-Infinity,-Infinity,1.0116009,-Infinity,0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
-Infinity,-Infinity,-Infinity,1.7047481,1.7047481,-Infinity,1.7047481,-Infinity,0,-Infinity,-Infinity,-Infinity,-Infinity
-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1.7047481,-Infinity,-Infinity,-Infinity,0,2.3978953,-Infinity,-Infinity
-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1.7047481,-Infinity,-Infinity,-Infinity,2.3978953,0,-Infinity,-Infinity
-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0,-Infinity
1.0116009,1.0116009,1.0116009,-Infinity,1.0116009,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0
