DocID,Word,Topic0,"ὁτι",20
99,"θυμου",9
99,"μενος",4
100,"ὁσον",2
100,"ἐπι",0
100,"ἐμῃ",17
100,"κρισει",13
101,"ειθε",8
101,"οὐδε",22
101,"ὑποστικτεον",22
102,"ὁτι",20
102,"abbr:place.place",18
102,"οὑτως",23
102,"εἱπεν",10
103,"abbr:pers.pers",9
103,"προϊαπτω",13
104,"οὑτως",9
104,"abbr:pers.pers",15
104,"ενικως",9
104,"κλισιῃ",19
105,"ὁπερ",1
105,"αλλων",6
105,"λεγει",17
105,"νηων",6
105,"ἀγωνι",20
106,"ὁτι",15
106,"θηλυκως",16
106,"abbr:place.place",22
107,"γραφεται",11
108,"abbr:pers.pers",9
108,"κεδανδει",9
109,"γραφεται",24
109,"μεγιστον",5
110,"ὁτι",14
110,"ἰδῃ",18
110,"νοησῃ",3
110,"παραλληλως",23
110,"ταυτον",6
110,"ἐστιν",4
111,"abbr:pers.pers",22
111,"ἐσυμνητηρι",20
111,"τουτεστι",15
111,"βασιλικῳ",23
112,"γραφεται",9
112,"κακoν",13
113,"γραφεται",24
113,"ἀλλ",0
114,"ὁτι",12
114,"ἀντιφραζει",3
114,"χολον",15
114,"μηνιδϊ",6
115,"οὑτως",18
115,"abbr:pers.pers",23
115,"κακ",12
115,"ανσχεο",17
116,"ἐξω",3
116,"συνδεσμος",18
117,"ὁτι",19
117,"οὑτως",7
117,"ἐσχηματιοσε",22
117,"φυλακας",19
118,"abbr:pers.pers",13
119,"γραφεται",11
119,"ἐκελευσας",15
120,"ἐπιφερει",22
121,"γραφεται",3
121,"φερον",23
122,"ἀλλῳ",20
122,"θρηνεον",12
123,"τοισιν",8
124,"γραφεται",3
124,"κεχαρισμενα",18
124,"δωρ",12
124,"ὀνομηνεν",10
125,"ποθ",21
125,"υμιν",20
126,"αἰδους",0
127,"κασιγνητον",3
128,"οδυρομενος",24
129,"ἁμαξαν",12
131,"ἐκελευσεν",19
132,"ὑψοροφον",13
133,"ἐδρακον",4
134,"ἐξἑσιην",14
135,"δημοσιαν",12
135,"ἐκπεμψιν",23
135,"δασυνεται",12
135,"συλλαβην",7
135,"ἡσω",16
135,"μελλοντα",1
136,"ὁνησιν",4
136,"ἐχετε",15
137,"πολιος",0
138,"ρητορικος",12
140,"abbr:pers.pers",21
141,"ὠφελλ",22
141,"απολεσθαι",17
142,"ἐστενε",2
