urn:cts:greekLit:tlg5026.msAim.tm:24.A1.comment,0,0,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.A2.comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,0
urn:cts:greekLit:tlg5026.msAim.tm:24.B1.comment,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.B2.comment,0,0.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,0
urn:cts:greekLit:tlg5026.msAim.tm:24.B3.comment,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.1bis.comment,0,0,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.2bis.comment,0,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.3bis.comment,0,0,0,0,0,0,0,0,0.14285714,0,0,0,0,0,0,0.14285714,0,0,0,0,0,0,0.14285714,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.4bis.comment,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
urn:cts:greekLit:tlg5026.msAim.tm:24.X1.comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.X2.comment,0,0,0,0,0.16666667,0,0,0,0.16666667,0,0,0.16666667,0,0,0,0,0,0,0,0,0.16666667,0,0,0.16666667,0
urn:cts:greekLit:tlg5026.msAim.tm:24.X3.comment,0,0,0,0,0.14285714,0,0,0.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.X4.comment,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.X5.comment,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.1.comment,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.2.comment,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.3.comment,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.4.comment,0,0,0.14285714,0,0,0,0,0,0,0,0,0,0.28571429,0,0,0,0,0,0,0,0,0,0,0.14285714,0
urn:cts:greekLit:tlg5026.msAim.tm:24.5.comment,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.6.comment,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,0,0.33333333,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.7.comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0
urn:cts:greekLit:tlg5026.msAim.tm:24.8.comment,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.9.comment,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.10.comment,0,0,0,0,0,0.125,0.125,0,0,0,0.125,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.11.comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,0,0,0,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.12.comment,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0
urn:cts:greekLit:tlg5026.msAim.tm:24.13.comment,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0
