0,0.24242424,0,0.03030303,0,0.045454545,0,0,0,0,0.03030303,0.18181818,0,0.060606061
1,0,0,0.22222222,0.16666667,0,0,0,0,0,0,0,0,0.055555556
2,0.04,0,0,0,0.08,0,0,0,0,0,0.04,0.04,0.32
3,0,0,0,0,0,0.32653061,0,0,0.10204082,0.10204082,0,0,0
4,0,0,0.4,0,0,0.13333333,0,0,0,0,0,0,0
5,0,0,0,0.086956522,0,0.32608696,0.02173913,0.065217391,0,0,0,0,0
6,0,0.27659574,0,0,0,0.042553191,0.19148936,0,0.10638298,0,0,0,0
7,0.36842105,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.28,0,0,0,0,0,0.24,0,0
9,0,0.4516129,0,0,0,0,0,0,0.096774194,0,0,0.12903226,0
10,0,0.18181818,0,0,0,0,0,0.40909091,0,0,0,0,0
11,0,0,0,0,0,0.27272727,0,0,0,0,0,0,0.45454545
12,0,0,0,0,0.037037037,0,0.40740741,0,0.055555556,0,0,0,0.092592593
13,0,0.11111111,0,0.14814815,0,0,0.11111111,0.037037037,0,0.037037037,0.037037037,0,0
14,0.0625,0,0,0,0.125,0,0,0,0.041666667,0.14583333,0,0.083333333,0
15,0,0,0.047619048,0,0.095238095,0,0,0,0,0,0.16666667,0.19047619,0
16,0,0,0,0,0,0.032786885,0.032786885,0,0,0.24590164,0,0,0.16393443
17,0,0,0,0.058823529,0.014705882,0,0,0.10294118,0.20588235,0.14705882,0,0,0
18,0,0,0.22580645,0,0.016129032,0.016129032,0,0,0,0.016129032,0,0.27419355,0
19,0.33333333,0,0.13333333,0,0,0,0,0,0,0,0,0,0
20,0.064516129,0,0,0.48387097,0,0,0,0,0,0,0,0,0
21,0,0,0.071428571,0,0,0,0,0,0.5,0,0,0,0
22,0,0,0,0,0,0.14285714,0.14285714,0,0.28571429,0,0,0,0
23,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0
