word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
μεγα,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
ιψαο,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
λαον,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
αχαιων,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
εστι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
θηριον,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
διατρωγον,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
τα,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ξυλα,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
τουτου,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ιαπτω,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
τω,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αϊαπτους,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
ην,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ααπτους,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
μη,0,0,0,0,0,0,0,0,0,0,0,0,0,0
δυναμενας,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0
διαφθαρηναι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
βλαβηναι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
επιτασιν,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
αγαν,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0
βλαψαι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
διαφθειραι,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814
συσταλτεον,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0
την,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τελευταιαν,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
δυσκλεα,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0
ως,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αμφιρεφεα,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ακλεα,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ανδρων,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
τουτον,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
τους,0,0,0,0,0,0,0,0,0,0,0,0,0,0
μετ,0,0,0,0,0,0.034482759,0,0,0,0,0.022222222,0,0,0
αυτον,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τρεις,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
ηθετηκεν,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
προς,0,0,0,0,0.055555556,0,0,0,0.18421053,0,0,0,0,0
υποθεσιν,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
τινα,0,0,0,0,0,0,0,0,0,0,0,0,0,0
λεγονται,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
επιτηδες,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
γαρ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τουτων,0,0,0,0,0,0,0,0,0,0,0,0,0,0
των,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αγαθων,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
επεσβολον,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
παραγειοχεν,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
ιστεον,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
αχιλλευς,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0
αναιρει,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0
ιστορει,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
κοϊντος,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
ποιητης,0,0.022727273,0,0.047619048,0,0,0,0,0,0,0,0,0,0
τοις,0,0,0,0,0,0,0,0,0,0,0,0,0,0
μεθ,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
ομηρον,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
φησι,0,0,0,0,0,0,0,0,0,0,0,0,0,0
τῃ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
αμαζονομαχια,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
ανελων,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0
πενθεσιλειαν,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0
