urn:cts:greekLit:tlg5026.msA.hmt:1.1,0.062893082,0.031446541,0.044025157,0.025157233,0.0062893082,0.044025157,0.044025157,0.012578616,0.050314465,0.037735849,0.06918239,0.06918239,0.031446541,0.025157233,0.044025157,0.031446541
urn:cts:greekLit:tlg5026.msA.hmt:1.2,0.05,0.05,0.15,0,0.05,0,0,0.05,0.05,0,0.05,0.05,0,0,0,0.05
urn:cts:greekLit:tlg5026.msA.hmt:1.3,0.046511628,0.023255814,0,0.069767442,0.023255814,0,0.11627907,0.093023256,0.046511628,0.023255814,0,0.023255814,0.023255814,0.023255814,0.046511628,0.023255814
urn:cts:greekLit:tlg5026.msA.hmt:1.4,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0.1,0,0
urn:cts:greekLit:tlg5026.msA.hmt:1.5,0,0.03030303,0,0.03030303,0.03030303,0,0.060606061,0.03030303,0.12121212,0,0.060606061,0.03030303,0,0.03030303,0.03030303,0
urn:cts:greekLit:tlg5026.msA.hmt:1.6,0.12820513,0,0.12820513,0.051282051,0.025641026,0.025641026,0,0,0.051282051,0.025641026,0.025641026,0,0,0.025641026,0.025641026,0
urn:cts:greekLit:tlg5026.msA.hmt:1.7,0.047058824,0.035294118,0.058823529,0.011764706,0.058823529,0.011764706,0.035294118,0.011764706,0.011764706,0.035294118,0.023529412,0.070588235,0.023529412,0.023529412,0.070588235,0.058823529
urn:cts:greekLit:tlg5026.msA.hmt:1.8,0,0.026666667,0.026666667,0.053333333,0.08,0.04,0.026666667,0,0.026666667,0.026666667,0.013333333,0.093333333,0.013333333,0.026666667,0.026666667,0.013333333
urn:cts:greekLit:tlg5026.msA.hmt:1.9,0,0,0,0.071428571,0.071428571,0,0,0.14285714,0.071428571,0,0,0,0.21428571,0,0,0
urn:cts:greekLit:tlg5026.msA.hmt:1.10,0.03125,0.0625,0,0.03125,0.03125,0.0625,0.0625,0.0625,0,0,0.03125,0.03125,0.03125,0,0.0625,0
urn:cts:greekLit:tlg5026.msA.hmt:1.11,0.048672566,0.03539823,0.044247788,0.044247788,0.039823009,0.039823009,0.048672566,0.013274336,0.03539823,0.022123894,0.048672566,0.039823009,0.022123894,0.039823009,0.066371681,0.039823009
urn:cts:greekLit:tlg5026.msA.hmt:1.12,0.036585366,0.036585366,0.024390244,0.012195122,0.012195122,0.024390244,0.06097561,0.048780488,0.024390244,0.024390244,0.06097561,0.036585366,0.06097561,0.06097561,0.012195122,0.024390244
urn:cts:greekLit:tlg5026.msA.hmt:1.13,0.033333333,0.05,0.083333333,0.05,0.033333333,0.05,0.083333333,0,0.016666667,0.066666667,0.05,0.083333333,0,0.016666667,0.033333333,0.033333333
