Source,Target,Weight,Type
urn:cts:greekLit:tlg5026.msA.hmt:1.7,6,0.035294118,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,7,0.011764706,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,8,0.011764706,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,9,0.035294118,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,10,0.023529412,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,11,0.070588235,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,12,0.023529412,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,13,0.023529412,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,14,0.070588235,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.7,15,0.058823529,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,1,0.026666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,2,0.026666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,3,0.053333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,4,0.08,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,5,0.04,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,6,0.026666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,8,0.026666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,9,0.026666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,10,0.013333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,11,0.093333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,12,0.013333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,13,0.026666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,14,0.026666667,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.8,15,0.013333333,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.9,3,0.071428571,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.9,4,0.071428571,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.9,7,0.14285714,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.9,8,0.071428571,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.9,12,0.21428571,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,0,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,1,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,3,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,4,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,5,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,6,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,7,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,10,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,11,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,12,0.03125,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.10,14,0.0625,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,0,0.048672566,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,1,0.03539823,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,2,0.044247788,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,3,0.044247788,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,4,0.039823009,undirected
urn:cts:greekLit:tlg5026.msA.hmt:1.11,5,0.039823009,undirected
