word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
πρακτικοις,0,0,0,0,0,0,0,0,0,0,0.00016820858,0,0,0,0,0
υποθεσις,0.00016691704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γεγονεν,0.00016691704,0.00033955857,0.00016960651,0.00033636058,0.00050581689,0.00016482611,0.00032846116,0.00033528919,0.00017193948,0.00016733601,0,0.00016705647,0.00033881077,0.0001676727,0.00033361134,0.00050454087
αλλῳς,0,0,0,0,0,0,0.00016423058,0,0,0,0,0,0,0,0,0
τραγῳδιαις,0,0,0,0,0,0.00016482611,0,0,0,0,0,0,0,0,0,0
τραγικον,0,0.00016977929,0,0,0,0.00016482611,0,0,0,0,0,0,0,0,0,0
εξευρε,0,0.00016977929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
προοιμιον,0,0,0.00016960651,0.00016818029,0,0,0,0,0,0,0,0,0,0,0,0
προσεκτικους,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016818029
ατυχηματων,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
διηγησις,0,0,0,0,0,0,0,0,0,0.00016733601,0.00016820858,0,0,0,0,0
εργαζεται,0.00016691704,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
αριστος,0,0.00033955857,0.00016960651,0.00033636058,0.00016860563,0.00032965222,0.00032846116,0.00016764459,0,0.00033467202,0.00033641716,0.00033411293,0,0,0,0.00033636058
ϊατρος,0,0,0,0,0,0,0.00016423058,0,0,0,0,0,0,0.0001676727,0,0
αναστελλων,0,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
νοσηματα,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001676727,0,0
υστερον,0.00066766817,0,0.00050881954,0.00050454087,0.00084302816,0.00032965222,0.0008211529,0.00016764459,0.0010316369,0.00083668005,0,0.00016705647,0.00084702694,0.0001676727,0.00050041701,0.00067272116
ϊασιν,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0.0001676727,0,0
επαγει,0,0,0,0.00016818029,0.00033721126,0.00016482611,0,0,0,0.00016733601,0,0,0.00033881077,0,0.00016680567,0.00033636058
ελληνικον,0,0,0,0,0.00033721126,0,0,0,0,0,0,0,0,0,0.00033361134,0
τελει,0,0,0,0,0,0.00016482611,0.00016423058,0,0.00017193948,0,0,0,0,0,0.00016680567,0
ηδονας,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
επαγειν,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0.00016818029
ϊστεον,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0.00016818029
συκης,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016818029
ολυνθος,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
ειτα,0.00066766817,0.0010186757,0.00050881954,0.00016818029,0.0015174507,0.0013186089,0.0008211529,0.00033528919,0.0010316369,0.00050200803,0.00016820858,0.00083528233,0.00067762155,0.00067069081,0.00066722269,0.00050454087
φιλιξ,0,0,0,0.00016818029,0,0,0,0,0,0,0,0,0,0,0,0
συκον,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001676727,0,0
ϊσχας,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
ουτω,0.0010015023,0.00050933786,0.00084803256,0.00050454087,0.00033721126,0,0.00065692232,0.00033528919,0.00034387895,0.00066934404,0.00033641716,0.0011693953,0.00033881077,0.00033534541,0.00066722269,0.0015136226
οργη,0,0,0.00016960651,0,0,0,0.00016423058,0,0,0,0,0,0.00016940539,0,0,0
θυμος,0.00033383408,0.00033955857,0.00033921303,0,0.00033721126,0.00065930443,0.00049269174,0.00033528919,0.00017193948,0,0.00033641716,0.00033411293,0.00067762155,0.00033534541,0.00016680567,0.00016818029
χολος,0,0,0,0.00016818029,0.00016860563,0.00016482611,0,0,0,0.00016733601,0,0,0,0,0,0.00016818029
κοτος,0,0,0,0.00016818029,0,0,0,0.00016764459,0,0,0,0,0,0,0,0
μηνις,0.00016691704,0,0.00016960651,0,0,0,0.00016423058,0,0.00017193948,0,0,0,0.00016940539,0,0,0
ομως,0,0.00050933786,0.00016960651,0.00033636058,0.00016860563,0,0.00032846116,0.00033528919,0.00017193948,0.00033467202,0.00016820858,0.00033411293,0.00033881077,0.00033534541,0.00016680567,0.00016818029
ποιητης,0.00033383408,0.0013582343,0.0015264586,0.0015136226,0.0010116338,0.0013186089,0.00065692232,0.0013411567,0.0017193948,0.0016733601,0.00067283431,0.0010023388,0.0011858377,0.0015090543,0.001000834,0.00050454087
συνωνυμοις,0,0,0,0,0,0.00016482611,0,0,0,0,0,0,0,0,0,0
ονομασιν,0,0,0,0,0,0,0.00016423058,0,0,0.00016733601,0,0,0,0,0.00016680567,0
αχιλλεως,0.0010015023,0.00084889643,0.00084803256,0.00084090145,0.00067442253,0.00082413054,0.00049269174,0.00033528919,0.00068775791,0.00050200803,0.00050462574,0.00083528233,0.0013552431,0.00033534541,0.00066722269,0.00033636058
χρηται,0,0.00033955857,0.00016960651,0.00033636058,0.00050581689,0,0.00032846116,0.00016764459,0.00017193948,0,0.00016820858,0.00066822586,0,0.0001676727,0,0.00016818029
χολον,0.00016691704,0,0.00050881954,0.00050454087,0.00016860563,0,0,0,0.00034387895,0.00016733601,0.00016820858,0,0.00016940539,0.0001676727,0,0.00050454087
παυσειεν,0,0,0,0,0,0,0.00016423058,0,0,0.00016733601,0,0,0.00016940539,0,0,0
ερητυσειε,0,0,0,0,0,0,0,0,0,0,0.00016820858,0,0,0,0,0
θυμον,0.00066766817,0.00050933786,0,0.00033636058,0.00067442253,0.00032965222,0.00032846116,0.00016764459,0.00034387895,0.00066934404,0.00033641716,0.00083528233,0.00050821616,0.00033534541,0.00050041701,0.00050454087
οθομαι,0,0.00016977929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
κοτεοντος,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0
αυταρ,0.0010015023,0.0010186757,0.00084803256,0.0010090817,0.00050581689,0.00032965222,0.0011496141,0.00016764459,0.0010316369,0.0011713521,0.0011774601,0.0013364517,0.0013552431,0.0011737089,0.00033361134,0.00084090145
μηνιε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0.00016818029
νηυσιν,0.00016691704,0,0.00050881954,0,0.00033721126,0.00016482611,0,0,0.00034387895,0.00016733601,0.00033641716,0,0.00016940539,0.0001676727,0.00016680567,0
μενω,0,0,0,0,0.00016860563,0,0.00016423058,0,0,0,0,0.00016705647,0,0,0.00016680567,0.00016818029
ενος,0.00016691704,0.00033955857,0,0.00033636058,0.00016860563,0.00032965222,0.00032846116,0,0.00085969739,0.00050200803,0.00050462574,0,0.00050821616,0,0.00016680567,0.00084090145
ηνις,0,0,0,0,0,0,0,0,0,0,0.00016820858,0,0,0,0,0.00016818029
γλαυκωνα,0,0,0.00016960651,0,0,0,0,0,0,0,0,0,0,0,0,0
ταρσεα,0,0,0,0,0,0,0,0.00016764459,0,0,0,0,0,0,0,0
ηξιουν,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
οξυνειν,0,0.00033955857,0,0.00016818029,0,0,0,0.00016764459,0.00017193948,0,0,0.00033411293,0.00016940539,0.0001676727,0,0
ονομα,0.0015022534,0.00084889643,0.0011872456,0.00084090145,0.00067442253,0.00032965222,0.00098538348,0.0010058676,0.00068775791,0.00050200803,0.00084104289,0.00066822586,0.00050821616,0.00033534541,0.001501251,0.00050454087
ορθως,0.00050075113,0.00016977929,0.00050881954,0.00067272116,0.00033721126,0.00049447833,0.0008211529,0.00050293378,0.00034387895,0,0.00033641716,0.00016705647,0,0.00033534541,0.00033361134,0.00016818029
ποιητικην,0.00016691704,0.00033955857,0,0,0,0,0.00016423058,0.00033528919,0,0,0,0,0,0,0,0
αδειαν,0,0,0,0,0,0,0,0,0,0,0,0.00016705647,0,0,0,0
συνηθειαν,0.00016691704,0.00016977929,0,0,0,0,0.00032846116,0,0,0.00016733601,0,0.00016705647,0,0.00033534541,0,0.00033636058
λαμβανει,0,0.00016977929,0.00016960651,0.00016818029,0.00016860563,0.00032965222,0.00016423058,0.00016764459,0.00034387895,0,0,0.00016705647,0.00033881077,0.0001676727,0.00016680567,0.00016818029
προστακτικα,0,0,0,0,0,0.00016482611,0.00016423058,0,0,0,0,0,0.00016940539,0.0001676727,0,0.00016818029
ευκτικων,0,0,0,0,0,0,0,0.00016764459,0,0,0,0,0,0,0,0
ησιοδος,0.00066766817,0.00016977929,0.00033921303,0.00033636058,0.00050581689,0.00032965222,0.00016423058,0.00050293378,0,0.00016733601,0.00050462574,0.00033411293,0.00016940539,0.0001676727,0.00033361134,0.00016818029
δευτε,0,0.00016977929,0,0,0,0,0,0,0,0.00016733601,0,0,0,0,0,0
εννεπετε,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0.00016818029
πινδαρος,0.00016691704,0,0.00016960651,0.00016818029,0,0,0,0.00016764459,0.00034387895,0.00016733601,0,0,0.00016940539,0,0,0.00050454087
μαντευο,0,0,0,0,0.00016860563,0,0,0,0,0,0,0,0,0,0,0
μουσα,0,0,0,0,0.00016860563,0,0,0.00016764459,0.00034387895,0,0,0,0,0,0,0.00016818029
αντιμαχος,0,0,0.00016960651,0.00016818029,0,0,0.00016423058,0.00033528919,0.00017193948,0,0,0,0,0,0.00033361134,0
κολοφωνιοσ,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
κρονιανος,0.00016691704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
διος,0.0016691704,0.0015280136,0.0011872456,0.0013454423,0.0021918732,0.0016482611,0.00098538348,0.0016764459,0.0015474553,0.0010040161,0.0013456686,0.0030070164,0.0015246485,0.0011737089,0.0016680567,0.0025227043
μεγαλοιο,0,0,0,0.00016818029,0,0,0,0,0,0,0.00016820858,0,0,0,0,0
θυγατρες,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016680567,0
αληθειαν,0,0,0,0,0,0,0.00016423058,0,0.00017193948,0.00016733601,0,0,0,0,0,0
μουσαις,0,0,0,0,0,0,0.00016423058,0,0,0,0,0,0.00016940539,0,0,0
επιτασσουσιν,0,0,0,0,0,0,0,0,0.00017193948,0,0,0,0,0,0,0
εαυτοις,0,0,0,0.00016818029,0,0.00016482611,0,0,0.00017193948,0,0.00016820858,0.00016705647,0,0.0001676727,0,0
θεα,0,0,0,0,0,0.00016482611,0.00016423058,0,0.00017193948,0,0.00016820858,0,0.00050821616,0.0001676727,0,0.00016818029
ειωθε,0.00016691704,0.00033955857,0,0.00016818029,0.00016860563,0,0.00032846116,0,0.00017193948,0.00066934404,0.00033641716,0.0005011694,0.00033881077,0,0.00016680567,0.00033636058
μουσαν,0,0,0,0,0.00016860563,0,0,0,0,0,0,0,0,0,0,0
καλειν,0,0,0,0.00016818029,0.00016860563,0,0,0,0,0,0,0,0,0.0001676727,0,0.00016818029
αμελει,0.00016691704,0,0,0,0,0,0,0.00016764459,0.00017193948,0,0,0,0,0.0001676727,0,0
οδυσσεια,0,0,0,0,0,0,0,0,0,0.00016733601,0,0.00016705647,0,0,0.00016680567,0
πηληϊαδεω,0,0,0,0,0,0,0.00016423058,0,0,0,0,0,0,0,0,0
